,f1-score,precision,recall,accuracy,bal_accuracy
Escherichia_lysin,0.7756971574834972,0.65640674874601,0.9479749753045769,0.8811308631398587,0.9053001585729812
Escherichia_endolysin,0.7435897435897436,0.6127976190476191,0.9453627180899908,0.8622028141678797,0.8926395231892061
Escherichia_val,0.8118110236220473,0.7090784044016506,0.9493554327808471,0.894806338028169,0.913515194701586
Edwardsiella_lysin,0.5063291139240507,0.39215686274509803,0.7142857142857143,0.9972324723247232,0.8560407524784658
Edwardsiella_endolysin,0.04419889502762431,0.0226628895184136,0.8888888888888888,0.9263437998935604,0.9076522934366594
Edwardsiella_val,0.47058823529411764,0.34782608695652173,0.7272727272727273,0.9954819277108434,0.861748621376107
Enterobacter_lysin,0.37916666666666665,0.2630057803468208,0.6791044776119403,0.9798825356106123,0.8308663610213799
Enterobacter_endolysin,0.15536374845869297,0.08835904628330996,0.6428571428571429,0.9332943811471419,0.7894749778782815
Enterobacter_val,0.28852459016393445,0.1774193548387097,0.7719298245614035,0.9579783113865221,0.8659923256349215
Enterococcus_lysin,0.9705882352941176,0.9575892857142857,0.9839449541284404,0.9977469670710571,0.9911169295137879
Enterococcus_endolysin,0.9792663476874003,0.9684542586750788,0.9903225806451613,0.9983365323096609,0.9944950678042596
Enterococcus_val,0.9723756906077348,0.946236559139785,1.0,0.9976963833218152,0.9987995198079231
Erwinia_lysin,0.6550925925925926,0.5349716446124764,0.844776119402985,0.9792320022301205,0.9136111223531266
Erwinia_endolysin,0.6872370266479664,0.5530474040632054,0.9074074074074074,0.978079229332547,0.9437067330887385
Erwinia_val,0.6646525679758308,0.5527638190954773,0.8333333333333334,0.9737091425864519,0.9057864710676446
Flavobacterium_lysin,0.898876404494382,0.8163265306122449,1.0,0.9962730347159915,0.9981051301845744
Flavobacterium_endolysin,0.9328214971209213,0.8741007194244604,1.0,0.9966167230546158,0.9982676697683627
Flavobacterium_val,,,,,
Gordonia_lysin,0.9732510288065843,0.9497991967871486,0.9978902953586498,0.9934116057099417,0.9953452628756386
Gordonia_endolysin,0.9902354968408961,0.9806598407281001,1.0,0.9978768577494692,0.9988103568929321
Gordonia_val,0.9474605954465849,0.9016666666666666,0.9981549815498155,0.9862068965517241,0.991330642035412
Haloarcula_lysin,,,,,
Haloarcula_endolysin,,,,,
Haloarcula_val,,,,,
Halorubrum_lysin,,,,,
Halorubrum_endolysin,,,,,
Halorubrum_val,,,,,
Klebsiella_lysin,0.830059245400686,0.7861783815711755,0.8791281373844122,0.9599647395871593,0.9246041546497232
Klebsiella_endolysin,0.7652916073968705,0.6685998342999171,0.8946784922394678,0.9485393492046991,0.9243955728376414
Klebsiella_val,0.8145224940805051,0.7889908256880734,0.8417618270799347,0.9495491627307857,0.9038228171246399
Lacticaseibacillus_lysin,0.4235294117647059,0.26865671641791045,1.0,0.995897178263418,0.9979454926624738
Lacticaseibacillus_endolysin,0.45161290322580644,0.2916666666666667,1.0,0.9957141056346905,0.997853264301048
Lacticaseibacillus_val,0.05235602094240838,0.026881720430107527,1.0,0.9490714687675859,0.9744998591152437
Lactobacillus_lysin,0.8036253776435045,0.6751269035532995,0.9925373134328358,0.9943147030525671,0.99343654768022
Lactobacillus_endolysin,0.8756756756756757,0.7788461538461539,1.0,0.9971087366436203,0.9985394970789941
Lactobacillus_val,0.8740740740740741,0.7763157894736842,1.0,0.99580661075481,0.9978723404255319
Lactococcus_lysin,0.9631901840490797,0.9308300395256917,0.9978813559322034,0.9967293540474244,0.9972795483979954
Lactococcus_endolysin,0.9966405375139977,0.9955257270693513,0.9977578475336323,0.9996205413609917,0.9987448755094435
Lactococcus_val,0.7878787878787878,0.65,1.0,0.9932530120481927,0.9965836993655441
Listeria_lysin,0.8752941176470588,0.7782426778242678,1.0,0.9954693109933322,0.9976980542043086
Listeria_endolysin,0.8469387755102041,0.7477477477477478,0.9764705882352941,0.9957847407615569,0.9862443953690692
Listeria_val,0.7350427350427351,0.581081081081081,1.0,0.9906089063920024,0.9952424800491099
Microbacterium_lysin,0.9848156182212582,0.9763440860215054,0.9934354485776805,0.9987788922808548,0.9962180876609332
Microbacterium_endolysin,0.989247311827957,0.9813333333333333,0.997289972899729,0.9989520565889441,0.9981632245778755
Microbacterium_val,0.9090909090909091,0.8333333333333334,1.0,0.9971647292316416,0.998561978717285
Microcystis_lysin,0.1523809523809524,0.08247422680412371,1.0,0.9870337995337995,0.9935093348891482
Microcystis_endolysin,0.35135135135135137,0.21666666666666667,0.9285714285714286,0.9952667389803767,0.961965185007547
Microcystis_val,0.03896103896103896,0.019867549668874173,1.0,0.971841704718417,0.9859128117266325
Campylobacter_capsid,0.24447717231222385,0.14318573893041978,0.8355704697986577,0.9588887404835047,0.897724379148999
Campylobacter_tail,0.4281157439052176,0.2849128127369219,0.8607420980302336,0.9675509359809701,0.9149108828740609
Campylobacter_baseplate,0.8078817733990148,0.7522935779816514,0.8723404255319149,0.9934958807244588,0.9338829300578148
Campylobacter_tail_appendage,0.5234001910219676,0.3700202565833896,0.8939641109298532,0.9777807462819486,0.9364522945006578
Campylobacter_tail_sheath,0.6163522012578616,0.44954128440366975,0.98,0.9785513361462729,0.9792627057981389
Campylobacter_portal,0.41798941798941797,0.3185483870967742,0.6076923076923076,0.9704777241009125,0.7923055911583636
Campylobacter_head-tail_joining,0.614065180102916,0.45202020202020204,0.9572192513368984,0.9830047586675731,0.9702967234312442
Campylobacter_integration,0.560280140070035,0.4197901049475262,0.8421052631578947,0.9783742557693254,0.9113730337699881
Campylobacter_nuclease,0.6357670221493027,0.5032467532467533,0.8630289532293987,0.9820566186425266,0.9236426484983815
Campylobacter_DNA_polymerase,0.6496,0.5384615384615384,0.8185483870967742,0.9858609335657563,0.9035659066905695
Campylobacter_terminase,0.39324487334137515,0.2562893081761006,0.844559585492228,0.9711102176784792,0.9085441672379249
Campylobacter_annealing,0.19491525423728814,0.10849056603773585,0.9583333333333334,0.952116935483871,0.9552062204192022
Campylobacter_helicase,0.5952380952380952,0.4605263157894737,0.8413461538461539,0.9849756959787892,0.9141164339242923
Campylobacter_primase,0.33519553072625696,0.2033898305084746,0.9523809523809523,0.9581501670476525,0.9552978730610309
Campylobacter_replication_initiation,0.5263157894736842,1.0,0.35714285714285715,0.9929824561403509,0.6785714285714286
