,f1-score,precision,recall,accuracy,bal_accuracy
Microbacterium_val,0.0,0.0,0.0,0.9948936170212765,0.9948936170212765
Microcystis_lysin,0.0,0.0,0.0,0.9979874213836478,0.4993705941591138
Microcystis_endolysin,0.0,0.0,0.0,0.9726688102893891,0.48685622317596566
Microcystis_val,0.0,0.0,0.0,0.9931350114416476,0.9931350114416476
Campylobacter_capsid,0.007575757575757576,0.004545454545454545,0.022727272727272728,0.9644456506988737,0.4964148309028855
Campylobacter_tail,0.34206896551724136,0.36795252225519287,0.31958762886597936,0.9864803582563346,0.6567417137853139
Campylobacter_baseplate,0.31527093596059114,0.4507042253521127,0.24242424242424243,0.980526758195573,0.6184287926366145
Campylobacter_tail_appendage,0.6073298429319371,0.7837837837837838,0.49572649572649574,0.9930523390458545,0.7471140438924668
Campylobacter_tail_sheath,0.8923076923076924,0.90625,0.8787878787878788,0.9968482665466006,0.938708381807102
Campylobacter_portal,0.5,0.6666666666666666,0.4,0.9979434447300771,0.6997422680412371
Campylobacter_head-tail_joining,0.0,0.0,0.0,0.9956815114709852,0.499729070712544
Campylobacter_integration,0.09183673469387756,0.1125,0.07758620689655173,0.9831007310357923,0.5353852125007862
Campylobacter_nuclease,0.16744186046511628,0.24,0.12857142857142856,0.9883637781967106,0.5624160035988417
Campylobacter_DNA_polymerase,0.2702702702702703,0.38461538461538464,0.20833333333333334,0.9933920704845814,0.6031819300837026
Campylobacter_terminase,0.17391304347826086,0.3157894736842105,0.12,0.9906126482213439,0.5589206243772833
Campylobacter_annealing,0.0,0.0,0.0,0.9980582524271845,0.5
Campylobacter_helicase,0.0,0.0,0.0,0.9940053285968028,0.5
Campylobacter_primase,0.0,0.0,0.0,0.9801980198019802,0.5
Campylobacter_replication_initiation,0.0,0.0,0.0,0.9988358556461001,0.5
Campylobacter_transcriptional_regulator,0.011764705882352941,0.007633587786259542,0.02564102564102564,0.9857445905812473,0.5072867140805162
Campylobacter_transcriptional_activator,0.0,0.0,0.0,0.9856,0.5
Campylobacter_transcriptional_repressor,0.0,0.0,0.0,0.9925855058598422,0.49987954709708504
Campylobacter_packaging_assembly,0.27169811320754716,0.29508196721311475,0.2517482517482518,0.9868501737412277,0.6229155459924691
Campylobacter_adsorption-related,0.5748502994011976,0.7868852459016393,0.4528301886792453,0.9894799229515484,0.7254366207584093
Campylobacter_cell_wall_depolymerase,0.0,0.0,0.0,0.996690675491532,0.5
Campylobacter_RNA-associated,0.09900990099009901,0.7142857142857143,0.05319148936170213,0.9894358021824936,0.5264783737888322
Campylobacter_nucleotide_metabolism,0.609375,0.7222222222222222,0.527027027027027,0.9857224443175329,0.7613256488694061
Campylobacter_ejection,0.0,0.0,0.0,1.0,1.0
Campylobacter_phosphorylation,0.0,0.0,0.0,0.9885906040268456,0.4995478182229256
Campylobacter_transferase,0.0759493670886076,0.1875,0.047619047619047616,0.9864964853866075,0.5225929787973583
Campylobacter_reductase,0.375,0.40540540540540543,0.3488372093023256,0.9787550456766518,0.6696577303815242
Campylobacter_anti-restriction,0.09375,0.75,0.05,0.9905645030095982,0.5249178577295877
Campylobacter_sir2,0.0,0.0,0.0,1.0,1.0
Campylobacter_toxin,0.0,0.0,0.0,1.0,1.0
Campylobacter_super_infection,0.0,0.0,0.0,0.9883495145631068,0.5
Campylobacter_lysis,0.05084745762711865,0.048,0.05405405405405406,0.9737674200726081,0.5199672263625752
Campylobacter_lysis_inhibitor,0.0,0.0,0.0,1.0,1.0
Campylobacter_holin,0.0,0.0,0.0,0.9948060941828255,0.5
Campylobacter_spanin,0.0,0.0,0.0,0.967461044912924,0.49299392807099485
Campylobacter_pvp,,,,,
Campylobacter_DNA-associated,,,,,
Caulobacter_capsid,0.011049723756906077,0.005639097744360902,0.2727272727272727,0.9438695515835686,0.6086846911982953
Caulobacter_tail,0.26439232409381663,0.20228384991843393,0.38153846153846155,0.9813634399308556,0.6841069238943841
Caulobacter_baseplate,0.0,0.0,0.0,0.9881590076120665,0.49456751799068716
Caulobacter_tail_appendage,0.23414634146341465,0.17266187050359713,0.36363636363636365,0.9853010017788597,0.6764013188883655
Caulobacter_tail_sheath,0.0,0.0,0.0,0.7190661478599222,0.7190661478599222
Caulobacter_portal,0.0,0.0,0.0,0.9810725552050473,0.4907943187795897
Caulobacter_head-tail_joining,0.05714285714285714,0.14285714285714285,0.03571428571428571,0.9842331581462016,0.516404358353511
Caulobacter_integration,0.3193916349809886,0.2727272727272727,0.3853211009174312,0.9808923996584116,0.6866123811099738
Caulobacter_nuclease,0.37438423645320196,0.36363636363636365,0.38578680203045684,0.9809466656664917,0.6878302062535412
Caulobacter_DNA_polymerase,0.4444444444444444,0.5405405405405406,0.37735849056603776,0.9876877616350652,0.686558486799985
Caulobacter_terminase,0.09375,0.058823529411764705,0.23076923076923078,0.9879166666666667,0.6103710369430027
Caulobacter_annealing,0.0,0.0,0.0,0.9970674486803519,0.49926578560939794
Caulobacter_helicase,0.0,0.0,0.0,0.9988928255093003,0.49977841790383337
Caulobacter_primase,0.0,0.0,0.0,0.9898843930635838,0.4953000723065799
Caulobacter_replication_initiation,0.0,0.0,0.0,1.0,1.0
Caulobacter_transcriptional_regulator,0.4548736462093863,0.41721854304635764,0.5,0.9856067105137737,0.7457549445248433
Caulobacter_transcriptional_activator,0.0,0.0,0.0,0.9544554455445544,0.49284253578732107
Caulobacter_transcriptional_repressor,0.45652173913043476,0.38181818181818183,0.5675675675675675,0.9868938401048493,0.7792840484740962
Caulobacter_packaging_assembly,0.34517766497461927,0.2512315270935961,0.5513513513513514,0.9712139244272537,0.7642117643701474
Caulobacter_adsorption-related,0.19161676646706588,0.12307692307692308,0.43243243243243246,0.9825129533678757,0.708797239254092
Caulobacter_cell_wall_depolymerase,0.06976744186046512,0.04285714285714286,0.1875,0.9835085549371264,0.5868213547052741
